follow_up,main_survey,cntry
6769700C-F5F7-77AD-415E-26BCFAA751F5,670907CC-6315-9299-EA6E-6F5E112E605C,DE
677A2F4A-C50C-EABE-A010-B049DB5062AD,670CCC13-B647-87C4-4179-D401B53349B1,DE
676BF688-B931-974F-4AF8-A25FF8AC29D4,6707ED2B-11CA-B1CE-433D-206629A4D8EB,DE
67673A23-AA78-0CD7-5330-AFE8FCF47DD0,6707ED4C-F0FB-A493-A189-E2631C58950C,DE
67741E3C-17FD-490A-EE1B-4B4EAA69D4FF,6707ED62-7F37-8D68-B2B7-3A52190D8A8F,DE
6762DA16-362B-B93B-F1C8-655A84A6E702,670CCB4D-3702-5097-CDF3-7DA175035368,DE
67600BF3-B8C7-F265-891F-B7227DC77CDD,670CCBD7-AC62-C813-74C5-0D0D563E0FA7,DE
676B1CCD-7C64-D417-47C6-BDC7B182C094,6709077F-BDF1-8816-840E-417CF013D353,DE
67824AC3-6C00-855A-FC62-1F8F89A2013F,670CCB8C-F1B4-BFA6-5CA9-7835700A72F6,DE
677AA5E0-A32E-2F75-16E8-7AB8652C65F2,670CF149-ECE4-456C-FBF6-DDB73E349BD9,DE
677D2B22-A2B8-3CFC-2E8C-71F534E87C30,670CCAB1-A78A-7B26-E149-00E956CB1BE8,DE
6775CC29-3E71-7952-2819-3A79B7EE12CC,67090B0A-A8D4-AAD5-8377-A1C77497DF36,DE
676199AC-85ED-56A7-A254-CF57DB82BA88,6707ED7C-DE8D-2E2E-B6DE-A1D8A891C12F,DE
6761A00F-6616-AE7B-B48D-B93DF292D253,67090CFF-5A66-3406-6806-B5CA4A522EC7,DE
6763D01F-202D-858B-740B-887C9BD1BD89,6708DFF9-462F-76F9-2B45-CF7B111148A1,DE
6771D112-59C1-1EB5-AA5E-C0285EF74CB6,670CCABD-C42C-E7BB-31BA-2AD9776C7136,DE
6768282A-8414-36C4-C1C8-D3C1AD9F6145,670CCB1D-33C0-0DED-E5D0-F719DB9F7304,DE
677C30D5-AFF5-6EC7-79AB-9D5FF16EAD70,670CED55-03D1-25D1-6179-F1E996BAD01F,DE
6764326F-79E4-48E0-C497-F09C7997C0B9,6708DF57-E271-8161-C7B7-E0D549A2D6BD,DE
676DBDA5-85E1-8394-B325-2A82262CEC31,6707ED85-F150-0850-AD55-26F2AB8AE3F9,DE
6763FB8E-A17D-F963-3550-CD13187F6FC5,670CED7C-3CB2-AE82-3DDF-B9C158DEAA78,DE
67731CCC-0D2D-B203-ACA0-61ED12D7348C,6707ED41-755C-06EC-DDCA-71AF94969264,DE
677BB99D-50F6-3B4F-9F07-41473EFBE1C3,670E25E7-40B2-9058-04B5-A2FD92D56CBE,DE
676B040D-A822-C3B0-03AA-A6F80B4016D4,6707ED8A-9F2E-CD17-A7F2-9AABCB756890,DE
676D5A0E-2E1D-4DDC-E306-7E9E9D369615,670CED67-8E07-AF4B-84D3-6FD75895537F,DE
67681C35-455C-D776-A2B6-8A2B0810CDAD,67181786-343D-74C7-831E-9B81403D6E50,DE
67650151-3A6E-7BD1-0249-806B6C6FFA2B,6707C984-48D5-1CFB-DEB5-4A4F439F9A3D,DE
67613217-6B86-C8BA-FFCD-90B290A59BB3,670E2817-A108-52DC-E02C-ABF1740DA747,DE
6759C2E3-32A8-F12E-FF09-467E4F328C40,670CF06C-4DFA-99E6-78A8-16A9B6109C7E,DE
6764825E-52A1-4B05-5A77-54B1F36EBDE0,671B8A52-EF78-D133-1A4C-CD45F8464111,DE
67645EC5-2A3B-222A-D352-C2E084809E01,671773B1-64C5-CCD4-DAD9-2E674F5466DB,DE
676678CD-3ADB-9C92-63E6-55DB0DD600E7,671000ED-3EEA-9F9B-6CA0-D3DF2CC910E0,DE
676440FD-A314-117D-5CD9-750842FA8A2F,6708E007-F3EA-5B63-1020-3F2EF48FA713,DE
676718B7-308C-F051-0862-31ADC64D21F6,67090BB6-6176-E937-776B-E63E7EEE8297,DE
67729646-DF1A-C3F8-750C-D5E4486447E2,67112027-026A-FB49-50B4-00E17E6C49C3,DE
67646DD8-C9BF-B9F1-1B42-15107BB5D941,6710C1A3-4C91-57D4-DD4D-6190DC0BF3E8,DE
67644A25-1975-98BE-325E-B01766D5C687,670FBC04-CF27-2FDA-08FC-47D5451EF014,DE
67653F28-2237-6A4C-9202-E1E161F08977,6710E434-BE55-9CD3-741D-AA617965CDCD,DE
677A6A0F-1522-963B-8DF1-783D87502C84,670F87F9-1B0F-8D5F-42A0-D97B08205D61,DE
67642877-9BA0-C06E-51AC-719AB936A772,670E3A8E-F173-FEB0-B833-1C8D80F85FD2,DE
67643B55-9D0B-1A12-C660-3B6C22387F7A,670E2996-23E8-D0B4-1555-AD8915F44104,DE
67645C4D-201D-DE9B-7E59-8919C9298AD6,6710EB7C-5988-49FC-706E-97923D6117CF,DE
676461C2-1445-103E-5625-6D838D19810F,67129E94-C837-1B51-C4BC-60BAC9E71AEC,DE
676569D8-3E5E-37B8-1E64-508EABECCE6C,670E8339-2173-381C-7407-68404567918E,DE
6764463A-46C8-BF3C-8B4C-C803702F5E94,670FFD1C-2618-7C04-0865-95EF246FCEB3,DE
67643898-BB1F-9C6B-47B4-E74410656167,670CEEB2-E89A-2C9B-E318-C252F229DFE0,DE
67657556-0E75-DB83-F7A9-99E7434D9A4F,670E4F35-7745-651B-6089-8E496A46632D,DE
677144DD-B8F6-C1D8-2762-061D23580DD1,67121E0E-A85D-C703-16A7-0B021EBCE418,DE
676546A1-4451-F224-7E8E-4C97E18574C6,670E3B0D-EE77-CEA2-54AD-C3E3B61B802B,DE
676575A1-1886-DCE4-EE93-0FB1D8AEE4CB,671B73EC-9737-1DF9-2AB0-CDBBF2C0D6F3,DE
677270BB-9606-7BE3-FE95-A10E70D38DBA,671A1092-43F4-9EC7-28C4-539C4BFC92E9,DE
67698CB5-C2E9-B446-DF64-5D04A80BA065,670E8FE0-DC33-4783-AD45-42B76F203B74,DE
67650144-A8B4-D08F-A6D7-13130219849D,6710D6E8-3ECB-55A1-E654-639D2EE5E701,DE
676469EE-CC4C-8649-29AA-5E634C67FCEF,671125BF-0F13-40E4-8F53-312F7DC89CAF,DE
676463B7-C37C-A79B-B482-2DF5507FB343,670FE903-B152-DC51-7EB8-6564DFE2C908,DE
67645BE6-82B1-53FA-503B-EED68CE32574,670E84C6-3BDB-1C45-54DA-2B333FFD1DA0,DE
676438E4-9166-49F6-47E9-AB86C0A5082E,670E72A8-3EC9-0E4B-720A-0EED077914DF,DE
6766ADA5-F846-D581-4835-50B4178F4625,670E4E10-5EA2-9791-A2B4-79DEE93687AA,DE
676456B1-24F8-BC01-0183-B32FB3F4F4FB,670E95D3-C0AF-9A18-6E9A-8BE7415761B8,DE
67651A3B-6FFE-B27E-5C58-372CCBF34EE1,67112104-E5FC-F7A5-D4B3-278DE0E64413,DE
67681FCC-1976-EEC9-642D-0CB525A4A423,671908B3-12B1-B5F8-3FD6-F21458D89DB9,DE
67645DB8-FF29-FD88-B0D0-42FB5352191F,67167FA1-9AFF-EA72-82D6-12FE41C614F3,DE
67643935-FB60-E80C-0F3A-7BA0F5A4D811,670CCD77-7DDD-77B7-243C-0853A81B95BF,DE
67655090-32C6-6D6C-1C3F-B23BE8B1310F,670CEDCD-C75F-2B96-E956-06D1D03C45C6,DE
678055FD-B0F2-41A9-2F59-EAE6B270BA77,670E9F97-81C6-8B95-F1B0-128FD9AD6B7B,DE
67667E4E-F9DE-1CE7-B748-33D04F2BE136,6710E7D5-A00A-918F-E44A-488803F62034,DE
67652078-FB05-8645-C44C-01A472D5E4CF,671103FF-265F-40F8-6D04-C2F0CC763A1A,DE
676492A3-D58C-C05A-D737-D8CF08CD4F82,67195BF9-CF1C-3848-638B-17B0DBB0F1A5,DE
67646434-4645-B1EC-16D5-DCD8EA7A10E2,67090753-24E2-CCD2-0ACD-31D9B1ED6D6E,DE
67643F9E-453A-A69F-3F74-407BF0E0D345,670EA524-FE3A-BCE0-8EF0-AB7FB1430728,DE
676432FC-4A64-AD56-9DA6-09F50B0FBDC2,670E803B-4786-582E-FCF4-8FEAD0E20482,DE
6764375E-ED12-7EA2-19C8-12D680B40B22,670E8786-FEAA-98EC-8431-1360AF7840F3,DE
676436EC-57D9-E230-1000-C97DC40BE105,670EA19A-4C0A-DECC-00C4-3ECE79728E0B,DE
676464B2-A374-0117-6815-1EA3CACC5249,67090D4D-8B90-552A-5AA6-EC67CB2955CE,DE
67643CA3-B886-519F-322D-EBFEF133CD97,6710D462-4770-A88E-4FF7-CAA869A7E9B2,DE
6764568C-36F4-E59E-C7C3-8F572596F6DB,671BBD3A-F901-CE6C-A24D-88C24FDC7DCE,DE
67643ECA-9717-7D5E-6B3F-5DA9486C3F2E,670FC7E5-41E4-258C-03CB-46D6FBD7E57C,DE
67646AF8-768A-3288-41C4-FF27D760B09B,67176E91-244C-294C-52EB-158068DBA1CF,DE
67651A6A-6582-702D-5F4B-12AAAA1EFAF3,67111577-7A81-2E70-E8C1-8F6DC7BD5D41,DE
676470D8-EEDA-91DD-9E9A-7D2BADEFB499,67090713-4C6A-2A43-AD3C-69E1DD7E30F1,DE
676458BC-57D6-FAA6-A02F-0642AD21976D,67191CA2-2AE8-DA32-5B16-EACBA7BB3377,DE
6766AC78-16E9-00C9-07A0-0CC0B1CEDB1F,671622C1-82CC-DAF1-6C59-DCDE530A29FC,DE
67651B13-6BF0-6BD3-E51D-83CAA64EC28A,671228FB-D7F1-73D0-F0AA-289E5F2AEBE5,DE
67644B74-3659-7B0C-2AB7-53D550C878A0,671BBC33-C544-CDC7-C7C2-0DB0443E0087,DE
67666C38-4002-06E3-CBCF-EE784382A02A,670EC979-D6CC-3B84-426B-B56E60213E27,DE
67643CA8-49C2-D586-7B7E-F1CE5B001D43,6719089B-ECF3-3BB5-59CA-4692E288E651,DE
676445AB-4F73-E560-899D-4FB28F2EADB1,670E86F4-B926-0332-C382-C9C7A16BAE58,DE
6764828F-ADC8-B3A9-0B63-400D33B1C4E1,670FE64F-E281-8955-CB52-C1783040C455,DE
676700F3-80A3-A16F-E753-38BC58C819CD,670FFCB3-222C-9E0A-E2DF-21E2A76C0C9A,DE
6765065C-F10D-8821-93A0-FBFAF1FE5655,671736E7-8B87-AC8E-B9F7-AE3AD8F40765,DE
67644E53-A218-1D5F-22F5-BED09D2D92BC,67190B65-F793-7DE1-684B-E34CCAFEA813,DE
67645454-20E9-A25D-6E61-B86284454386,670E873D-827B-0EAF-FC57-EBEAF3FA4708,DE
676437A1-7FC4-5B1A-08DA-F5C2D6804A49,670E5B2B-E709-B3FD-AF52-1A6A1829C0D6,DE
67644188-0E5B-4335-AE0F-ECDBA56CDA20,670F799D-6334-A2A5-EAC3-F0A142B4D7E2,DE
67669835-1A89-83F3-8985-8551ED74E01C,67161512-083E-03D5-26A7-053F77EAA3A8,DE
67642C67-9EF9-89C5-1266-086D4312474C,6710D425-33BC-80A1-73FC-45E758248A70,DE
676428C6-960C-7359-2F77-935E499BD22F,670E3B87-2FDD-5D50-7C68-53129A13007C,DE
67646A0C-8863-1A33-00C3-4887C1F3AB65,670E5644-0603-6005-A178-EEB976CED512,DE
67643881-7AC3-5CCA-AAC9-1A5D51DC50C5,670CCB30-8E6C-30BF-E906-94666FDF28CE,DE
676558B2-8626-B764-2B2B-C155CCDC6D77,670E39DD-BF53-AD99-FAE2-CB6BC5F5AAD9,DE
6765657B-3EAB-6278-5485-B0D6F5CF4481,6710E9DF-BC84-1295-4774-71B4BADF8B5E,DE
67642BF7-1C7F-D6F8-9C0D-60E043456614,670E6CB9-30EC-7743-889F-3699B6A63466,DE
676BC74F-B0C6-D0DE-EC1D-605B1069649A,670F7B30-F87F-A06C-EBB8-D650FEEE1B3E,DE
676443B5-538B-1045-D508-B8A04CC209CF,67125373-AD97-8677-9AF1-2482C74842A2,DE
67643D00-DBE7-8862-0725-8E0E3B6FD494,6710055E-D672-5712-D680-C2D2F6683316,DE
6764575F-D047-06CE-669A-B03C9C2552EB,670E67C5-1284-41B5-4EF2-C3E35331BA9B,DE
67657FEE-1710-270D-620B-6F740DCC5465,670E6159-77D6-E026-2DA8-5EC4CD8EB8E7,DE
6764311D-85E6-44F4-02D7-FA8254EF77FB,670F8942-181A-58D2-8B78-68F22F004FE1,DE
67652104-6D80-0BD1-4F05-43EF283850C2,6710928D-E6CC-BCF4-C458-E5562CDCA26D,DE
6764500A-57E3-FFF0-8D63-761561F7D7A4,6708DF2C-C8CE-C669-DF15-39FAD9450C1A,DE
6765048F-B5C7-3DB4-6DC4-FD4F44B56D99,670FD21B-1069-5D06-68C0-1BC3AEC8F858,DE
67657225-32D8-A639-9534-258D9156D6D3,67121912-666E-5C54-EC2B-F00AF50ED71C,DE
6765A8A1-AB88-33E7-9849-85CE803042A1,671B7F48-354B-F4E9-61E4-D224A7752B56,DE
677406AA-93E5-6D30-8F2A-53864542A85C,671225E3-F3AC-A962-86D9-D901452F13C7,DE
